Date,Home,Away
1,Mainz 05,Union Berlim
2,Bochum,Stuttgart
3,Heidenhein,Wolfsburg
4,FC Koln,Dortmund
5,Freiburg,Hoffenheim
6,Darmstadt,Frankfurt
7,RB Leipzig,Leverkusen
8,Bayern Munich,Werden Bremer
9,Borússia M.,Augsburg
